bare	accented	translations_en	translations_de	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_sg1	presfut_sg2	presfut_sg3	presfut_pl1	presfut_pl2	presfut_pl3
обладать	облада'ть	possess, have, be possessed, own, hold	besitzen, haben, verfügen über meist natürliche Eigenschaften	imperfective	-	облада'й	облада'йте	облада'л	облада'ла	облада'ло	облада'ли	облада'ю	облада'ешь	облада'ет	облада'ем	облада'ете	облада'ют
успокоиться	успоко'иться	calm down	sich beruhigen, ruhig werden, sich zufriedengeben	perfective	успокаиваться	успоко'йся	успоко'йтесь	успоко'ился	успоко'илась	успоко'илось	успоко'ились	успоко'юсь	успоко'ишься	успоко'ится	успоко'имся	успоко'итесь	успоко'ятся
забывать	забыва'ть	forget	vergessen; verabsäumen	imperfective	забыть	забыва'й	забыва'йте	забыва'л	забыва'ла	забыва'ло	забыва'ли	забыва'ю	забыва'ешь	забыва'ет	забыва'ем	забыва'ете	забыва'ют
останавливаться	остана'вливаться	stop, come to a stop, stand still, pause, pull up, put up, dwell, decide in favour	anhalten, halten, stehenbleiben, stillstehen, stoppen; sich aufhalten, Station machen	imperfective	остановиться	остана'вливайся	остана'вливайтесь	остана'вливался	остана'вливалась	остана'вливалось	остана'вливались	остана'вливаюсь	остана'вливаешься	остана'вливается	остана'вливаемся	остана'вливаетесь	остана'вливаются
захватить	захвати'ть	capture, seize; to bring along, take along; enthrall, engross	mitnehmen, nehmen, mithaben, ergreifen, hinreißen; erbeuten (kapern), erobern	perfective	захватывать	захвати'	захвати'те	захвати'л	захвати'ла	захвати'ло	захвати'ли	захвачу'	захва'тишь	захва'тит	захва'тим	захва'тите	захва'тят
волноваться	волнова'ться	to worry, bother	sich aufregen, aufgeregt sein; sich Sorgen machen um / über	imperfective	взволноваться,заволноваться,поволноваться	волну'йся	волну'йтесь	волнова'лся	волнова'лась	волнова'лось	волнова'лись	волну'юсь	волну'ешься	волну'ется	волну'емся	волну'етесь	волну'ются
прожить	прожи'ть	spend, run through	leben / wohnen, verbleiben; durchbringen, verprassen, ausgeben	perfective	проживать	проживи'	проживи'те	прожи'л	прожила'	прожи'ло,прожи'ло	прожи'ли,прожи'ли	проживу'	проживёшь	проживёт	проживём	проживёте	проживу'т
изменить	измени'ть	change, alter, vary; betray	ändern, verändern, wechseln, abtrünig werden; betrügen, untreu sein, fremdgehen	perfective	изменять	измени'	измени'те	измени'л	измени'ла	измени'ло	измени'ли	изменю'	изме'нишь	изме'нит	изме'ним	изме'ните	изме'нят
спорить	спо'рить	argue, dispute, have an argument, debate, discuss, bet, wager	streiten, ein Streitgespräch führen, sich streiten; wetten	imperfective	поспорить	спо'рь	спо'рьте	спо'рил	спо'рила	спо'рило	спо'рили	спо'рю	спо'ришь	спо'рит	спо'рим	спо'рите	спо'рят
состояться	состоя'ться	take place	stattfinden, zustande kommen	perfective	-	состо'йся	состо'йтесь	состоя'лся	состоя'лась	состоя'лось	состоя'лись	состою'сь	состои'шься	состои'тся	состои'мся	состои'тесь	состоя'тся
приводить	приводи'ть	bring, lead, result, reduce, adduce, cite, list	bringen, herführen; nennen, zitieren	imperfective	привести	приводи'	приводи'те	приводи'л	приводи'ла	приводи'ло	приводи'ли	привожу'	приво'дишь	приво'дит	приво'дим	приво'дите	приво'дят
варить	вари'ть	cook sth boiling, brew; found metal, weld	(gar) kochen, zubereiten; brauen	imperfective	сварить	вари'	вари'те	вари'л	вари'ла	вари'ло	вари'ли	варю'	ва'ришь	ва'рит	ва'рим	ва'рите	ва'рят
помолчать	помолча'ть	be silent, keep quiet	eine kurze Weile schweigen	perfective	молчать	помолчи'	помолчи'те	помолча'л	помолча'ла	помолча'ло	помолча'ли	помолчу'	помолчи'шь	помолчи'т	помолчи'м	помолчи'те	помолча'т
напомнить	напо'мнить	remind, resemble	erinnern an; mahnen; ähnlich aussehen	perfective	напоминать	напо'мни	напо'мните	напо'мнил	напо'мнила	напо'мнило	напо'мнили	напо'мню	напо'мнишь	напо'мнит	напо'мним	напо'мните	напо'мнят
орать	ора'ть	yell, bawl, shout	brüllen, schreien, johlen; anbrüllen, anschreien, anheulen; pflügen	imperfective	заорать,поорать,наорать	ори'	ори'те	ора'л	ора'ла	ора'ло	ора'ли	ору'	орёшь	орёт	орём	орёте	ору'т
бороться	боро'ться	fight, struggle, contend, strive, combat, battle, wrestle	kämpfen	imperfective	побороться	бори'сь	бори'тесь	боро'лся	боро'лась	боро'лось	боро'лись	борю'сь	бо'решься	бо'рется	бо'ремся	бо'ретесь	бо'рются
дойти	дойти'	reach, arrive, get to, amount	(hin)gehen / (hin)gelangen; angelangen / ankommen, erreichen, kommen zu	perfective	доходить	дойди'	дойди'те	дошёл	дошла'	дошло'	дошли'	дойду'	дойдёшь	дойдёт	дойдём	дойдёте	дойду'т
включить	включи'ть	turn on	einschalten, anmachen; einbeziehen (beinhalten, enthalten), einkalkulieren	perfective	включать	включи'	включи'те	включи'л	включи'ла	включи'ло	включи'ли	включу'	включи'шь	включи'т	включи'м	включи'те	включа'т
интересовать	интересова'ть	interest	interessieren	imperfective	заинтересовать	интересу'й	интересу'йте	интересова'л	интересова'ла	интересова'ло	интересова'ли	интересу'ю	интересу'ешь	интересу'ет	интересу'ем	интересу'ете	интересу'ют
умирать	умира'ть	die, pass away	sterben	imperfective	умереть	умира'й	умира'йте	умира'л	умира'ла	умира'ло	умира'ли	умира'ю	умира'ешь	умира'ет	умира'ем	умира'ете	умира'ют
